,Lyrics,Joy,Trust,Fear,Surprise,Sadness,Disgust,Anger,Anticipation
10,two hungri heart citi divid pull dark strong violent world world worri babi fire u go blackout star crumbl dust go blackout system system made light blackout wave wire street grow cold cold burn burn brighter caus like world like world worri babi fire u go blackout star crumbl dust go blackout made light go go blackout worri babi fire u go blackout star crumbl dust go blackout,0,1,0,0,0,0,0,0
11,read book old legend myth achil gold hercul gift spiderman control batman fist clearli see upon list said wan go much wan risk look somebodi superhuman gift superhero fairytal bliss someth turn somebodi kiss want someth like doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo want someth like doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo want someth like want someth like read book old legend myth testament told moon eclips superman unrol suit lift kind person fit said wan go much wan risk look somebodi superhuman gift superhero fairytal bliss someth turn somebodi miss want someth like want someth like want someth like doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo want someth like doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo wan go much wan risk look somebodi superhuman gift superhero fairytal bliss someth turn somebodi kiss want someth like want someth like want someth like want someth like,0,0,0,0,0,0,0,1
12,runnin open eye everyth knew compromis life love want flow tonight wan danc wan feel rollercoast ride wan danc wan feel beat overdr fall open eye chang point view made realis life love want flow tonight wan danc wan feel rollercoast ride wan danc wan feel beat overdr ooohhh overdr wan feel beat overdr wan feel beat overdr,1,1,0,1,0,0,0,1
13,ice cold heart like cool box grab anoth lite beer babi inhal breath get harder od late night sun get higher red white feelin blue babi bloodshot head littl lighter od livin gutter u lookin star live fast leav pretti bodi lay next wan know wan know life death babi know got ta know love wan know wan know life death babi know got ta know love tongu tie speakin softli come littl closer late night back taxi think love noth like sun california burn skin deep breath know tri warn od look gutter u livin star live fast leav pretti bodi lay next wan know wan know life death babi know got ta know love wan know wan know life death babi know got ta know love love aliv livin caus u lookin star aliv livin layin next wan know wan know life death babi know got ta know love wan know wan know life death babi know got ta know love love love,0,0,0,0,1,0,0,0
14,ruin life said messag night left broken bruis know wrong left shame even take look name look phone know wrong done done done done shit done done done start forget done done done go gone thought broke came back ten time stronger thought broke came back ten time stronger done thought broke came back ten time stronger done kill deep said hold sleep left daze confus know wrong left mess tri hurt almost kill stress final confess know wrong wrong done done done done shit done done done start forget done done done go gone thought broke came back ten time stronger done done done done thought broke came back ten time stronger done,0,0,0,0,1,1,1,0
15,walk round head hide high heel downtown thick crowd mind dress got heart mess got got mine unfair still care wonder tonight think could differ mayb miss think could differ could could u shoulda fire shoulda perfect storm u coulda real thing never know sure ooh crazi amaz babi know u u u back forth like tug war want back still got littl flame ya even though drove mad pretend close eye got got mine wonder tonight u shoulda fire shoulda perfect storm u coulda real thing never know sure ooh crazi amaz babi know u u u u u u think could differ mayb miss think could differ could could u shoulda fire shoulda perfect storm u coulda real thing never know sure ooh crazi amaz babi know u u u u u u u know u u u,0,0,0,0,1,0,0,0
16,dancin dancin think dancin clear soul dancin make whole dancin dancin think dancin clear soul dancin make whole danc danc danc dancin time babi time danc danc danc dancin dancin think dancin clear soul dancin make whole dancin dancin think dancin clear soul dancin make whole danc danc danc dancin dancin think dancin clear soul dancin make whole dancin dancin time babi time danc danc danc,1,0,0,0,1,0,0,0
17,let go let go let go know know wall fall ye wall fall wall final fall,0,1,0,0,0,0,0,1
18,hey melodi everi night play someth sweet alway chang key need heart lost beat count love hey melodi could use reason smile let harmoni tonight everi note hit cut let hear love sing let hear love sing let hear love sing let hear love sing let hear love sing hey melodi everi night play someth sweet alway chang key need heart lost beat count love hey melodi could use reason smile let harmoni tonight everi note hit cut let hear love sing let hear love sing let hear love sing let hear love sing let hear love sing,0,1,1,0,1,0,0,0
19,decis go anywher flow sometim believ time know fli high go low today got million tomorrow know decis go anywher flow sometim believ time know fli high go low today got million tomorrow know stop cri like home think show play game lay alon unknown wrong special come hate make cautiou love make glow make feel warm make feel cold written stori written wall call rise fall dancin moonlight decis go anywher flow sometim believ time know fli high go low today got million tomorrow know make feel warm make feel cold written stori written wall call rise fall dancin moonlight,1,1,0,0,0,0,0,1
20,love trust go togeth love flammabl anger tell love tell love believ tell love tell love believ believ tell love believ love trust go togeth love flammabl anger tell love tell love believ love flammabl anger tell love tell love love love love believ tell love believ tell love tell love love believ,0,1,0,0,0,0,0,0
21,everybodi need littl room make mistak perfect go pace show real feel promis let show real feel promis let let carri home let carri home tire weari strength go let carri home let carri home one turn faith gone let carri home let carri home let carri home everyon deserv littl preciou time stumbl til find littl piec mind show real feel promis let show real feel promis let let carri home let carri home tire weari strength go let carri home let carri home one turn faith gone let carri home let carri home let carri home let carri home one turn faith gone let carri home,0,1,0,0,0,0,0,1
22,stand like solid babi know built like gun like holster babi show dem say wick like live war rage chase crazi dream hope bridg cave tonight let go free gim ting make rock danc gim ting make rock danc mash hot step danc gim ting make rock rock rock rock gim ting make rock danc gim ting make rock danc mash hot step danc gim ting make light light light light light show flame fire written like name flyer wan tame desir light aim get higher dey wait messiah day rise high put light air wan see everywher one one let see two two sequel three three peopl know say bound next like neighbour ye one one let see two two sequel three three peopl one two three everybodi go light light light light light one one let see two two sequel three three peopl know say bound next like neighbour one one let see two two sequel three three peopl set set set set set ablaz set ablaz like candl wick hotter hotter hotter hotter light,1,0,0,0,0,0,0,1
23,doubl u doubl u hardwel lil jon everybodi feel tonight imma get lit tonight gon show as tonight hope rememb tonight tonight bring live tonight bring live tonight feel tonight imma get lit tonight gon show as tonight hope rememb tonight tonight bring live tonight bring live tonight,1,0,0,0,0,0,0,1
24,eas mind littl convers left high past time mayb use imagin would love mine know know alon take broken heart pull close take place tonight need somebodi morn somebodi hold tight even meet take place tonight even talk morn though know right take place tonight take place tonight need somebodi morn somebodi hold tight even meet take place tonight even talk morn though know right take place tonight close eye need sweet distract long time line need right need fight attract need steal heart away mind hope know know alon take broken heart pull close take place tonight need somebodi morn somebodi hold tight even meet take place tonight even talk morn though know right take place tonight take place tonight need somebodi morn somebodi hold tight even meet take place tonight even talk morn though know right take place tonight damn look good know want noth person might never call caus issu got ta warn got ta lie know right take place tonight need somebodi morn somebodi hold tight even meet take place tonight even talk morn though know right take place tonight take place tonight need somebodi morn somebodi hold tight even meet take place tonight even talk morn though know right take place tonight,0,0,1,0,1,1,0,0
25,love hous music love hous music love hous music love hous music love hous music love hous music love hous music love hous music love hous music love hous music love hous music love hous music hous music hous music music music music music love hous music love hous music love hous music love hous music love hous music love hous music love hous music love hous music love hous music love hous music hous music hous music music music music music love hous music love hous music,1,0,0,0,0,0,0,0
26,came life knew would wife choic make leav rememb back back search heart kiss faith arm dissap carri haze fall one alway mind loss pain move time wast hold babi almost home almost home almost home said hold babi almost home almost home almost home call wait see mean said hold love call wait see mean said hold hold hold hold hold hold hold hold cri till night promis light voic hear name echo feel way back back hand god like bear song love kiss tear free word free mind go side alway mind alway mind lost pain open arm away hold babi almost home almost home almost home said hold babi almost home almost home almost home call wait see mean said hold love call wait see mean said hold hold hold hold hold hold hold hold hold babi hold babi hold babi,0,1,0,0,1,0,0,1
27,noth know clock tick give best onto someth keep get closer closer noth everyth silent head sweat sure exactli head know get closer closer go got lot lose friend noth say get choos noth noth take step forward know look take deep breath make happen keep get closer closer go got lot lose friend noth say get choos noth noth go got lot lose friend noth say get choos noth go got lot lose friend noth say get choos noth,0,0,1,0,0,0,0,1
28,know hurt much see feel touch know he fall mind im hope fill space insid wish met month ago month ago could tell need know need know time mind mind wish side side know come crash wont mind hit ground know would make dont care im crash long im crash,1,1,0,0,0,0,0,1
29,love fallen long ever said word see need love hand hold lip went insid heart spine left hole need anybodi els need need need anybodi els need need love look eye threw arm around know chang life love whisper ear felt like age revers wash away year need anybodi els need need need anybodi els need need,1,1,0,0,0,0,0,0
30,look ledg hope know catch tumbl heart hand mean gotten chanc break anyon catch caus fall love anyon catch caus fall love ooohh think fall think fall think fall catch caus fall love ooh got fall catch three come come still race better come come caus know like chase better pick pace make wait come come anyon catch caus fall love anyon catch caus fall love ooohh think fall think fall think fall catch caus fall love ooh got fall catch three think fall think fall think fall catch caus fall love ooh,1,1,0,1,0,0,0,1
31,want night one els like first time got feel someth true get feel knew want night like first time one els night like first time got feel someth true get feel knew night like first time like first time night like first time want night one els like first time got feel someth true get feel knew night like first time like first time night like first time got feel someth true want night like first time one els night like first time like first time night like first time one els night like first time,1,1,0,1,0,0,0,0
32,babe make sound two love got ta keep keep wait around signal gim verb talkin noun naughti want ride six want dine six dine six lean kiss said probabl send pic like hell nah waitin long waitin hell nah want crew love leav babi hell nah waitin long waitin hell nah want crew love bodi losin innoc bodi grindin innoc bodi losin innoc bodi grindin innoc bodi losin innoc bodi grindin innoc bodi losin innoc bodi grindin innoc cenc cenc cenc cenc babe hit pedal thing goin wrong incident bad never got memo never fun limo wan ride six wan dine six dine six lean kiss said probabl send pic like hell nah waitin long waitin hell nah want crew love leav babi hell nah waitin long waitin hell nah want crew love bodi losin innoc bodi grindin innoc bodi losin innoc bodi grindin innoc bodi losin innoc bodi grindin innoc cenc cenc cenc cenc,0,0,0,0,0,0,1,1
33,light em light em tell tell summer night bright light shootin star break heart callin pickin shadow close still enough light match light match babi dark show love miss everi singl day see street love tell river swim bring back caus know love someon els know forget face love god miss everi singl day far away far away breakin losin far perfect worth mani fight cri never said sorri stop sayin love callin pick shadow still close still love summer somehow still break heart could talk love miss everi singl day see street love tell river swim bring back caus know love someon els know forget face love god miss everi singl day far away far away far away far away far away love miss everi singl day see street love tell river swim bring back caus know love someon els know forget face love god miss everi singl day far away,0,0,0,0,1,0,0,0
34,sorri got money tri funni left home today call wan give dollar time gon run away might knock might knock get back call wan give dollar time gon run away run away run away time time time time gon run run run run run time time time time sorri got money tri funni left home today call wan give dollar time gon run away might knock might knock get back call wan give dollar time gon run away run away run away time time time time gon run run run run run run time time time gon run run run run time time time time time,0,0,0,0,0,1,0,1
35,breath breath never said done believ come around hold hold ya head scream let go dream tangl mayb said much littl much wave dive til hit ocean floor world worth die fight till im wan feel imagin someth gon happen u know real deep end got think head take high road knew way turn break alreadi broke hold still hold shut echo let anoth piec mayb care much mayb littl much wave dive til hit ocean floor world worth fight wan feel imagin someth gon happen u know real deep end got think head head h head h head,0,0,1,0,1,0,0,1
36,voic head tell run away away anf stop say thing unsay way speak way say name would last week live without trace still arm safe enough fall asleep tire feel breath wan beleiv caus love symphoni love symponi caus love symponi love symponi truth eye ask come insid forget tear heart open wide open wide way laugh never apart never felt free danc dark caus arm safe enough fall asleep tire feel breath wan believ caus love symphoni love symphoni caus love symphoni two love symphoni end r,1,1,1,0,1,0,0,0
37,close eye got one night put trust give everyth need love tonight babi pleas fight put trust give everyth everyth never let go never let go wan wan never let go never let go wan wan never let go right arm wan wan never let go right arm wan wan close eye got one night put trust give everyth need,0,1,1,0,0,0,0,0
38,pleas hold close let stay sunris say hold forev least tonight long sinc got close someon know love let stay pull closer tonight keep hold hand know love let stay night said let stay said let stay said let stay said let stay said let stay said let stay said let stay said let stay said let stay need degre know love first sight caus know work got abc right let play pretend say one say one forev know end tonight say one say one caus long sinc got close someon know love let stay pull closer tonight keep hold hand know love let stay night said let stay said let stay said let stay said let stay said let stay said let stay said let stay said let stay said let stay,0,0,0,0,1,0,0,1
39,know need need right put show caus get think chang impress there work real easi everyth everyth say enough know need lot stuff sometim come around forget need big word realli need big word littl thing that love need big word realli need big word need big word make like realli need small thing hey wan tri get know super fun like crazi everyth everyth say enough know realli need lot suff sometim come around forget need big word realli need big word littl thing that love need big word make like realli need small thing,1,1,0,0,0,0,0,0
40,everyth new sleepless distant dream slow speed time let crash tonight want feel feel feel fall knee knee see still bleed caus superhuman hope grand delus keep state mind tell real love caus superhuman superhuman caus superhuman hope grand delus keep state mind tell real love caus superhuman superhuman everyth new enough stronger u togeth spark flame freez world know pain want feel feel feel fall knee knee see still bleed caus superhuman hope grand delus keep state mind tell real love caus superhuman superhuman caus superhuman hope grand delus keep state mind tell real love caus superhuman superhuman,1,1,1,0,0,0,0,0
41,thought run around scream sound fire start get mind need settl let see face hold need know freak time turn mind let heart speak million face see reflect leav gon let heart speak gon let heart speak lost afraid burn bridg made mistak keep wish could chang let get away million face see reflect leav gon let heart speak gon let heart speak gon let heart speak gon let heart speak million face see reflect leav gon let heart speak million place know one call home say ye bodi gon let heart speak gon let heart speak gon let heart speak gon let heart speak,0,0,1,0,1,1,0,0
42,seen face recognis spark space glow dark glow dark seen face felt familiar heart never met rememb rememb darl explain know voic name look look see light left anoth life seen face recognis spark space glow dark glow dark seen face felt familiar heart never met rememb rememb rememb rememb rememb rememb,1,1,0,1,0,0,0,0
43,wan danc water neath mexican sky drink margarita string blue light listen mariachi play midnight drink margarita string blue light listen mariachi play midnight wan danc water neath mexican sky drink margarita string blue light listen mariachi play midnight wan danc water neath mexican sky drink margarita string blue light listen mariachi play midnight wan danc water neath mexican sky drink margarita string blue light listen mariachi play midnight,0,0,0,0,0,0,0,1
44,pay everyth everyth got girl gone cindi lauper gaga littl blondi drunk wrong club feel sexi wrong beat tell bar want glass bottl buy everybodi one ye bring veuv clicquot hit big three parti like carniv rio life short need v yo live die give tri kiss fight also good time busi look next top model wear someth new someth old someth borrow know crazi life bitter pill swallow forget tomorrow tonight drink bottl drink bottl yo long get wrong everyth alright got girl go heidi klum kardashian rihanna type lean wrong scene high vibe tell bar need sparkler nothin keep bottl come night bring veuv clicquot hit big three parti like carniv rio life short need v yo live die give tri kiss fight also good time busi look next top model wear someth new someth old someth borrow know crazi life bitter pill swallow forget tomorrow tonight drink bottl drink bottl busi look next top model busi look next top model busi look next top model next top model next top model busi look next top model next top model next top model next top model tonight drink bottl drink bottl,1,0,0,0,0,0,0,0
45,waist hair think touch close eye alon danc dark tell babi wrong let hand want late night pretend danc danc danc dark like come let hit love pitch black girl see without whirl six pack thinkin bout nothin stone impact freakin dark tryna find ya lip caus like sexi got ta like readi leav talk magic happen sheet get crackin passion moment peac paus know want know want draw might run wall like stop time go see goin night owl time beauti got booti like round hand went got lil mama dancin god wan bust like hoppin transit like bandit caramel candid shorti know like palm hand waist hair think touch close eye danc danc danc dark dark dark dark ooh ooh ooh danc dark ooh ooh ooh danc dark work open bodi surgeri n n n got wan tast tast see pocket ace w wan see got sex drive push start got sex drive push start push push push start push push push start push push push start got sex drive push start waist hair think touch close eye danc danc danc dark dark dark dark ooh ooh ooh danc dark ooh ooh ooh danc dark love flirt see talk wan surf sea got boy know better spice flavor g get right savor w wan see got sex drive push start w wan see got sex drive push start got sex drive push start push push push start push push push start got sex drive push start waist hair think touch close eye alon danc dark tell babi wrong let hand want late night pretend danc danc danc dark ooh ooh ooh danc dark ooh ooh ooh danc dark tell babi wrong danc dark let hand want danc dark catarac danc dark ooh ooh ooh danc dark ooh ooh ooh,1,0,0,0,0,0,0,1
46,littl bit misfit danc littl bit jojo danc littl bit thought mine come mind midnight rambler wait til tune mine get local jam get big stage show world heck ever thank go right got someth could chang life use moment show life everyth gon alright crash star alright scream til star collid tellin everybodi right got spark got spark tonight takin back way caus way crash dark well alright got spark got spark tonight say look around someth hard enough might find around wan keep shawti blind feel trap think get hum drum scene time turn thing upsid show peopl realli mean everyth could lose mind could big dream find wait caus almost time everyth gon alright crash star alright scream til star collid tellin everybodi right got spark got spark tonight takin back way caus way crash dark well alright got spark got spark tonight mma feel forev even tonight see end much clearer even close eye tryin keep fall tryin get thing right got ta often well well mayb tonight crash star alright scream til star collid tellin everybodi right got spark got spark tonight takin back way caus way crash dark well alright got spark got spark tonight got spark got spark tonight got spark got spark tonight,1,1,0,0,0,0,0,1
47,come home highway late thing sideway want back system caus piec miss leav highway start think u new way place love new posit babe treat like religion gon caus world mean noth stuck caus babi truth want pleas show someth gon caus world mean noth stuck caus babi truth want pleas show someth caus would anyth caus would anyth caus would anyth burn money spend time call crazi caus would anyth burn money spend time call crazi caus would anyth pick left skip small talk caus word never fort miss foreplay gon caus world mean noth stuck caus babi truth want pleas show someth caus would anyth would anyth burn money hey gon caus world mean noth stuck caus babi truth want pleas show someth caus would anyth caus would anyth caus would anyth burn money spend time call crazi caus would anyth burn money spend time call crazi caus would anyth caus would anyth caus would anyth caus would anyth caus would anyth,0,1,1,0,1,0,0,0
48,let run away lie back yesterday safe tonight feel sun creepin like tick tock tri keep head keep run tomorrow lip lock got beg beg babi pleas go wake tomorrow still know feel way leav go find babi pleas go go go go babi pleas go go go go babi pleas go go go go babi pleas babi pleas babi pleas run away bed start anoth day stay instead feel sun creepin like tick tock tri keep head keep run tomorrow lip lock got beg beg babi pleas go wake tomorrow still know feel way leav go find babi pleas go go go go babi pleas go go go go babi pleas go go go go babi pleas babi pleas babi pleas run tomorrow stay run tomorrow stay run tomorrow stay run tomorrow babi pleas go wake tomorrow still know feel way leav go find babi pleas go go go go babi pleas go go go go babi pleas go go go go babi pleas babi pleas babi plase runaway,0,0,1,0,1,0,0,0
49,girl world look known take think deserv overdu listen hear radio bright white nois miss life dream girl girl everyth want let get baddest babi atmospher tell want like make feel make feel make feel make feel make feel get littl closer girl understand caus want guy know need well man listen hear radio bright white nois miss life dream girl girl everyth want let get baddest babi atmospher tell want like everyth know flip upsid take round world know like loud tell want caus like make feel make feel make feel make feel make feel make feel make feel make feel put hand put hand let light drop let light drop make world stop make world stop make feel make feel make feel make feel make feel make feel make feel make feel,1,1,0,0,0,0,0,1
50,could greatest best king kong bang chest could beat world could beat war could talk god go bang door throw hand beat clock move mountain break rock master wait luck dedic find stand hall fame world gon know name caus burn brightest flame world gon know name wall hall fame could go distanc could run mile could walk straight hell smile could hero could get gold break record thought never could broke peopl pride ever gon know never even tri countri name caus gon day stand hall fame world gon know name caus burn brightest flame world gon know name wall hall fame champion champion champion champion wall hall fame student teacher politician preacher believ leader astronaut champion truth seeker student teacher politician preacher believ leader astronaut champion stand hall fame world gon know name caus burn brightest flame world gon know name wall hall fame could greatest best champion king kong bang chest could beat world champion could beat war champion could talk god go bang door champion throw hand champion beat clock champion move mountain champion break rock champion master champion wait luck champion dedic find champion stand hall fame champion,0,1,0,0,0,0,0,1
51,need love need time everyth wrong make right feel high come aliv need free tonight need love need love take deep breath everi time pa door know see anymor reason dark stranger ever sinc fell apart feel sea watch eye fill fear tell feel hold arm need love need time everyth wrong make right feel high go aliv need free tonight need love need love dream ever find walk circl never make mean belong tri fight know strong feel helpless watch eye fill fear tell feel hold arm need love need time everyth wrong make right feel high come aliv need free tonight need love need love year time never blame eye open heart close tear lie wast tri make chang eye open need love need time everyth wrong make right feel high come aliv need free,0,1,1,0,1,0,0,1
52,first came cold clear color skin light paper thin first came cold clear color skin till let spectrum say name everi color illumin shine never afraid say name everi color illumin shine never afraid say name everi color illumin shine never afraid come dress blue ocean arm kiss eye kiss palm time pray dress gray metal tongu silver lung say name everi color illumin shine never afraid say name everi color illumin shine never afraid say name everi color illumin shine never afraid come back dress black scream name aloud eat sleep drag bodi graf say name everi color illumin shine never afraid say name everi color illumin say name everi color illumin shine never afraid say name everi color illumin shine never afraid say name shine say name say name never afraid,1,1,0,0,0,0,0,0
53,turn music got record shut world outsid light come mayb street alight mayb tree gone feel heart start beat favourit song kid danc kid night monday morn feel anoth life turn music roll time heaven sight turn music got record underneath rubbl sing rebel song want see anoth gener drop rather comma full stop mayb black mayb knee mayb gap two trapez heart beat puls start cathedr heart saw light swear emerg blink tell alright soar wall everi siren symphoni everi tear waterfal waterfal waterfal waterfal everi tear waterfal hurt hurt bad still rais flag wa wa wa wa wa aterfal wa wa wa wa wa aterfal everi tear everi tear everi teardrop waterfal everi tear everi tear everi teardrop waterfal everi tear everi tear everi teardrop waterfal,1,0,0,0,0,0,0,0
54,stole key took car downtown lost boy meet took car downtown took offer set free saw light go end scene saw light go stand front scarecrow dream smash heart smithereen bright red rose come burst concret cartoon heart light fire fire spark light fire flame heart run riot glow dark ooh ooh ooh glow dark ooh ooh boy girl matter world boy girl matter occur high low room spin run riot glow dark soar lumin wire glow dark,1,0,0,0,1,0,0,1
55,liar liar earth tell truth liar liar nobodi see lie follow dust leav footprint cloud walk home iron heart turn rust tear day diamond street apocalyps chase shadow live dream exist anymor need find way well go past last last liar liar earth tell truth liar liar nobodi see lie wall close head count heartbeat til feel good gone dark path watch sad greed pour rain everyth think apocalyps whisper sand sun eclips forev need find way well go past last last liar liar earth tell truth liar liar nobodi see lie keep talk hear sit watch come go might someth underneath least find find end least find find end,0,0,0,0,0,1,1,0
56,bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt turn around stick show world got bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt turn around stick show world got wine go turn flick girl like know fi handl oi wick one bat two ball swing like cricket pull lock slap as make show wick babi babi mek tell bout bodi yah make vibrat like nokia whine bruk bodi yah uh huh even kartel happi yah bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt turn around stick show world got bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt turn around stick show world got cute thing buena noch end night knee chest fuck bad let cardic arrest make come make come come know best bad let wind upon cock tick tock tick ride clock beat beat beat bad let show got snoop dogg mma drop like hot bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt turn around stick show world got bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt turn around stick show world got ok open bubba gump let see bumper booti smooth believ butter go wetter surfer ate pussi fast start burpin burp burp lick bottom surfac load clip told get nervou bang bang chiddi bang bang bang killer nippl tit clit licker ball like dribbl put pickl nibbl dickl trip crazi individu never minimum drive benz bentley damn bitch talk much want interview tri get make enemi play got bitch mad like flat screen as need 3d bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt turn around stick show world got bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt bubbl butt bubbl bubbl bubbl butt turn around stick show world got,0,0,0,0,0,0,0,1
57,live night live light live high till free fall live night live light live high till free fall fall til free fall fall live night tryna holla got ink collar drinkin til nada whiskey bother bitch dime motherfuckin dollar stack drink high skyscrapin til taller ring ring hit show univers love bleed red blood danc get enough ring ring hit show univers love bleed red blood danc get enough mma want whatev mma rage til dawn nighter hold breath know sleep dead live night live light live high til free fall live night live light live high til free fall fall live night free fall grim reaper blare speaker killin weaker welcom final featur head cloud say dreamer bang super loud turn bitch screamer mma want whatev mma rage til dawn nighter hold breath know sleep dead live night live light live high til free fall live night live light live high til free fall fall live night live light live high til free fall live night live light live high til free fall live night,1,0,0,0,0,0,0,1
58,alreadi got one roll left hand pussi mind tighter headband kush lung got ganja sweat gland shit better next strand next strand better next strand head booti poppin handstand shine bright give girl slight tan make pussi whistl like old spice man even understand ever want man ever throw catch like cornerback like cornerback intercept think give fuck misconcept night night roof fire high said night night bad bitch joke asid hey look babi what littl mama come start talk realli hear start danc like mirror whoa like mirror like mirror whoa broke start move like shakira like mirror chop one chop two chop as chop as chop chop as want drop as drop drop as look back whistl dixi middl school get head ten speed jiggalo blood line pimpin hereditari black twenti eight remind februari bet fuck would neveruari dead as rapper came cemeteri cold nigga like ben jerri fill nigga deal nigga kill nigga obituari vision blurri bitch flirtin drink night think kidney hurtin close curtain sixti two as would knock as better stick move true chain hang ding ling chain hang chain hang ding ling threesom got ta interven leg sexi hey look babi what littl mama come start talk realli hear start danc like mirror whoa like mirror like mirror whoa broke start move like shakira like mirror chop one chop two chop as chop as chop chop as want drop as drop drop as look back like mirror cautiou booti bigger appear speed slow like switch gear look baddest one tell like got ta stretch girl move bend touch toe toot like hut one hut two girl back back back could take step back sip cognac pictur perfect bodi kodak make nigga feel welcom like doormat like night night roof fire high like night night bad bitch joke asid go hey look babi what littl mama come start talk realli hear start danc like mirror whoa like mirror like mirror whoa broke start move like shakira like mirror chop one chop two chop as chop as chop chop as want drop as drop drop as look back,1,0,0,0,0,1,0,0
